Timestamp,CPU_Usage,RAM_Usage,Disk_Free
2026-06-15 17:06:28,11,27,89
2026-06-15 17:07:38,6,27,89
2026-06-15 17:08:49,10,27,89
2026-06-15 17:09:55,5,27,89
2026-06-15 17:10:57,8,27,89
2026-06-15 17:12:07,6,27,89
2026-06-15 17:13:17,3,27,89
2026-06-15 17:14:19,3,27,89
2026-06-15 17:15:37,12,27,89
2026-06-15 17:16:44,27,27,89
2026-06-15 17:17:49,4,27,89
2026-06-15 17:18:55,9,27,89
2026-06-15 17:20:06,7,27,89
2026-06-15 17:21:19,7,27,89
2026-06-15 17:22:37,3,27,89
2026-06-15 17:23:47,4,27,89
2026-06-15 17:24:55,11,27,89
2026-06-15 17:25:58,10,27,89
2026-06-15 17:27:17,9,27,89
2026-06-15 17:28:19,6,27,89
2026-06-15 17:29:19,8,27,89
2026-06-15 17:30:25,7,27,89
2026-06-15 17:31:49,8,27,89
2026-06-15 17:32:55,5,27,89
2026-06-15 17:34:14,2,27,89
2026-06-15 17:35:27,3,27,89
2026-06-15 17:36:31,3,27,89
2026-06-15 17:37:47,4,27,89
2026-06-15 17:38:47,3,27,89
2026-06-15 17:39:52,5,28,89
2026-06-15 17:40:55,3,27,89
2026-06-15 17:42:27,6,27,89
2026-06-15 17:43:37,3,27,89
2026-06-15 17:44:49,1,27,89
2026-06-15 17:45:55,2,27,89
2026-06-15 17:47:12,2,27,89
2026-06-15 17:48:26,3,27,89
2026-06-15 17:49:30,1,27,89
2026-06-15 17:50:35,3,27,89
2026-06-15 17:51:47,1,27,89
2026-06-15 17:52:54,7,27,89
2026-06-15 17:53:55,3,27,89
2026-06-15 17:55:19,5,27,89
2026-06-15 17:56:23,4,27,89
2026-06-15 17:57:27,17,20,89
2026-06-15 17:58:41,1,11,89
2026-06-15 18:00:06,1,5,89
2026-06-15 18:02:01,0,5,89
2026-06-15 18:03:11,0,5,89
2026-06-15 18:04:40,0,5,89
2026-06-15 18:05:46,0,5,89
2026-06-15 18:06:56,100,5,89
2026-06-15 18:08:06,9,5,89
2026-06-15 18:09:21,0,5,89
2026-06-15 18:10:26,0,5,89
2026-06-15 18:11:29,9,9,89
2026-06-15 18:12:46,6,9,89
2026-06-15 18:13:55,17,9,89
2026-06-15 18:14:59,6,9,89
2026-06-15 18:16:06,6,10,89
2026-06-15 18:17:26,3,10,89
2026-06-15 18:18:29,5,10,89
2026-06-15 18:19:35,5,10,89
2026-06-15 18:20:46,4,10,89
2026-06-15 18:21:59,6,10,89
2026-06-15 18:23:06,5,10,89
2026-06-15 18:24:07,3,10,89
